population,road,year,nl_med,fl_area,x,constituency_fe,nev_group,nev_group2,treat
1403.186,.81308413,2009,3.3710318,,0,708,2011,2011,1
1403.186,.81308413,2010,3.5835648,,0,708,2011,2011,1
1403.186,.81308413,2011,3.4662697,9.9799995,9.9799995,708,2011,2011,1
1403.186,.81308413,2012,4.3579364,,0,708,2011,2011,1
1403.186,.81308413,2013,4.1965809,4.8200002,4.8200002,708,2011,2011,1
1500.2217,.87623763,2009,3.9759259,,0,709,2011,2011,1
1500.2217,.87623763,2010,4.5546293,,0,709,2011,2011,1
1500.2217,.87623763,2011,4.1800928,62.91,62.91,709,2011,2011,1
1500.2217,.87623763,2012,5.3185186,,0,709,2011,2011,1
1500.2217,.87623763,2013,4.7545786,45.130001,45.130001,709,2011,2011,1
944.22015,.59433961,2009,3.6962962,,0,710,2011,2011,1
944.22015,.59433961,2010,3.5957792,,0,710,2011,2011,1
944.22015,.59433961,2011,3.3314815,15.91,15.91,710,2011,2011,1
944.22015,.59433961,2012,4.1033731,,0,710,2011,2011,1
944.22015,.59433961,2013,3.9829059,43.049999,43.049999,710,2011,2011,1
1495.4368,.86624205,2009,4.1637568,,0,711,2011,2011,1
1495.4368,.86624205,2010,4.5467591,,0,711,2011,2011,1
1495.4368,.86624205,2011,4.1296296,44.610001,44.610001,711,2011,2011,1
1495.4368,.86624205,2012,5.9179893,,0,711,2011,2011,1
1495.4368,.86624205,2013,5.402564,50.23,50.23,711,2011,2011,1
1430.5792,.77472526,2009,5.2158728,,0,712,2011,2011,1
1430.5792,.77472526,2010,5.7950397,,0,712,2011,2011,1
1430.5792,.77472526,2011,5.4876323,34.790001,34.790001,712,2011,2011,1
1430.5792,.77472526,2012,6.7470899,,0,712,2011,2011,1
1430.5792,.77472526,2013,6.402564,44.91,44.91,712,2011,2011,1
1070.7107,.67659575,2009,5.8341269,,0,713,2011,2011,1
1070.7107,.67659575,2010,6.2037039,,0,713,2011,2011,1
1070.7107,.67659575,2011,5.5250001,20.33,20.33,713,2011,2011,1
1070.7107,.67659575,2012,6.9092593,,0,713,2011,2011,1
1070.7107,.67659575,2013,6.5109892,30.389999,30.389999,713,2011,2011,1
897.64093,.9358108,2009,7.4408069,,0,714,2011,2011,1
897.64093,.9358108,2010,7.9624338,,0,714,2011,2011,1
897.64093,.9358108,2011,7.2363095,16.48,16.48,714,2011,2011,1
897.64093,.9358108,2012,8.4873734,,0,714,2011,2011,1
897.64093,.9358108,2013,8.4102564,21.219999,21.219999,714,2011,2011,1
1252.1713,.71627909,2009,5.5351191,,0,715,2011,2011,1
1252.1713,.71627909,2010,6.3939815,,0,715,2011,2011,1
1252.1713,.71627909,2011,5.0739417,36.060001,36.060001,715,2011,2011,1
1252.1713,.71627909,2012,6.3782825,,0,715,2011,2011,1
1252.1713,.71627909,2013,6.3559828,25.780001,25.780001,715,2011,2011,1
1005.974,.71641791,2009,6.3567462,,0,716,2011,2011,1
1005.974,.71641791,2010,6.6738095,,0,716,2011,2011,1
1005.974,.71641791,2011,5.3476853,18.959999,18.959999,716,2011,2011,1
1005.974,.71641791,2012,6.6222224,,0,716,2011,2011,1
1005.974,.71641791,2013,6.3974357,10.74,10.74,716,2011,2011,1
1257.0634,.66502464,2009,7.1689816,,0,717,2011,2011,1
1257.0634,.66502464,2010,7.819643,,0,717,2011,2011,1
1257.0634,.66502464,2011,8.6393518,4.2399998,4.2399998,717,2011,2011,1
1257.0634,.66502464,2012,9.9969692,,0,717,2011,2011,1
1257.0634,.66502464,2013,7.6965814,2.5599999,2.5599999,717,2011,2011,1
1282.4796,.73877549,2009,4.0486112,,0,718,2011,2011,1
1282.4796,.73877549,2010,4.221693,,0,718,2011,2011,1
1282.4796,.73877549,2011,4.2526455,1.55,1.55,718,2011,2011,1
1282.4796,.73877549,2012,4.9799061,,0,718,2011,2011,1
1282.4796,.73877549,2013,4.3982906,2.22,2.22,718,2011,2011,1
1074.4497,.67003369,2009,4.2822418,,0,719,2011,2011,1
1074.4497,.67003369,2010,4.7958331,,0,719,2011,2011,1
1074.4497,.67003369,2011,4.8422618,.039999999,.039999999,719,2011,2011,1
1074.4497,.67003369,2012,5.6567459,,0,719,2011,2011,1
1074.4497,.67003369,2013,4.9333334,.58999997,.58999997,719,2011,2011,1
1051.1273,.73207545,2009,4.5224867,,0,720,2011,2011,1
1051.1273,.73207545,2010,4.982738,,0,720,2011,2011,1
1051.1273,.73207545,2011,5.1322751,5.3499999,5.3499999,720,2011,2011,1
1051.1273,.73207545,2012,6.5685186,,0,720,2011,2011,1
1051.1273,.73207545,2013,5.5641026,4.4400001,4.4400001,720,2011,2011,1
1191.5375,.54424781,2009,4.6296296,,0,721,2011,2011,1
1191.5375,.54424781,2010,4.5112433,,0,721,2011,2011,1
1191.5375,.54424781,2011,4.6064816,.07,.07,721,2011,2011,1
1191.5375,.54424781,2012,5.0305557,,0,721,2011,2011,1
1191.5375,.54424781,2013,4.2576313,0,0,721,2011,2011,1
584.47595,.36989796,2009,4.6439815,,0,722,0,,0
584.47595,.36989796,2010,4.4610391,,0,722,0,,0
584.47595,.36989796,2011,4.1620369,0,0,722,0,,0
584.47595,.36989796,2012,4.6905484,,0,722,0,,0
584.47595,.36989796,2013,3.9487178,0,0,722,0,,0
1174.2709,.67567569,2009,13.913195,,0,723,0,,0
1174.2709,.67567569,2010,17.646885,,0,723,0,,0
1174.2709,.67567569,2011,11.503637,0,0,723,0,,0
1174.2709,.67567569,2012,15.281944,,0,723,0,,0
1174.2709,.67567569,2013,11.451313,0,0,723,0,,0
1431.7354,.72727275,2009,4.8404403,,0,724,0,,0
1431.7354,.72727275,2010,5.7827382,,0,724,0,,0
1431.7354,.72727275,2011,7.6134257,0,0,724,0,,0
1431.7354,.72727275,2012,8.9036798,,0,724,0,,0
1431.7354,.72727275,2013,7.9166665,0,0,724,0,,0
1195.7783,.53070176,2009,5.2787037,,0,725,0,,0
1195.7783,.53070176,2010,5.9461641,,0,725,0,,0
1195.7783,.53070176,2011,5.4625659,0,0,725,0,,0
1195.7783,.53070176,2012,7.1482687,,0,725,0,,0
1195.7783,.53070176,2013,5.8888888,0,0,725,0,,0
806.91895,.38518518,2009,3.3626983,,0,728,0,,0
806.91895,.38518518,2010,3.7328703,,0,728,0,,0
806.91895,.38518518,2011,3.8967593,0,0,728,0,,0
806.91895,.38518518,2012,4.3871031,,0,728,0,,0
806.91895,.38518518,2013,4.118803,0,0,728,0,,0
883.26855,.56160456,2009,3.4467592,,0,729,0,,0
883.26855,.56160456,2010,3.9601851,,0,729,0,,0
883.26855,.56160456,2011,3.8162038,0,0,729,0,,0
883.26855,.56160456,2012,4.507576,,0,729,0,,0
883.26855,.56160456,2013,4.3034186,0,0,729,0,,0
899.71155,.58554214,2009,3.3087964,,0,730,0,,0
899.71155,.58554214,2010,3.6347222,,0,730,0,,0
899.71155,.58554214,2011,3.738426,0,0,730,0,,0
899.71155,.58554214,2012,4.2361112,,0,730,0,,0
899.71155,.58554214,2013,3.8878205,0,0,730,0,,0
1208.9468,.62551439,2009,3.6027777,,0,731,0,,0
1208.9468,.62551439,2010,4.1444445,,0,731,0,,0
1208.9468,.62551439,2011,4.2582011,0,0,731,0,,0
1208.9468,.62551439,2012,4.7671294,,0,731,0,,0
1208.9468,.62551439,2013,4.3632479,0,0,731,0,,0
934.89648,.76648355,2009,3.6679895,,0,732,0,,0
934.89648,.76648355,2010,4.0185184,,0,732,0,,0
934.89648,.76648355,2011,4,0,0,732,0,,0
934.89648,.76648355,2012,4.4731541,,0,732,0,,0
934.89648,.76648355,2013,4.0373626,0,0,732,0,,0
859.20319,.51458883,2009,3.5103836,,0,733,0,,0
859.20319,.51458883,2010,3.665344,,0,733,0,,0
859.20319,.51458883,2011,3.7050927,0,0,733,0,,0
859.20319,.51458883,2012,4.2468252,,0,733,0,,0
859.20319,.51458883,2013,3.7378204,0,0,733,0,,0
918.23199,.6981132,2009,3.6160715,,0,734,0,,0
918.23199,.6981132,2010,3.4004629,,0,734,0,,0
918.23199,.6981132,2011,3.3587964,0,0,734,0,,0
918.23199,.6981132,2012,4.2711639,,0,734,0,,0
918.23199,.6981132,2013,3.5942307,0,0,734,0,,0
982.11456,.72049689,2009,3.8027778,,0,735,0,,0
982.11456,.72049689,2010,3.5767195,,0,735,0,,0
982.11456,.72049689,2011,3.9143519,0,0,735,0,,0
982.11456,.72049689,2012,4.4059644,,0,735,0,,0
982.11456,.72049689,2013,3.655983,0,0,735,0,,0
1872.915,.78807944,2009,3.5370371,,0,736,0,,0
1872.915,.78807944,2010,2.937037,,0,736,0,,0
1872.915,.78807944,2011,3.6092591,,,736,0,,0
1872.915,.78807944,2012,4.2349205,,0,736,0,,0
1872.915,.78807944,2013,3.4722223,0,0,736,0,,0
1184.7339,.69581747,2009,3.4357142,,0,737,0,,0
1184.7339,.69581747,2010,3.074008,,0,737,0,,0
1184.7339,.69581747,2011,3.5994709,,,737,0,,0
1184.7339,.69581747,2012,4.0386004,,0,737,0,,0
1184.7339,.69581747,2013,3.5769842,0,0,737,0,,0
1342.8115,.73662549,2009,3.8065476,,0,738,0,,0
1342.8115,.73662549,2010,3.7888889,,0,738,0,,0
1342.8115,.73662549,2011,4.0094247,0,0,738,0,,0
1342.8115,.73662549,2012,4.3680553,,0,738,0,,0
1342.8115,.73662549,2013,3.9333332,0,0,738,0,,0
1381.0625,.4009662,2009,3.6107805,,0,739,0,,0
1381.0625,.4009662,2010,2.8682539,,0,739,0,,0
1381.0625,.4009662,2011,3.7293651,,,739,0,,0
1381.0625,.4009662,2012,4.1833334,,0,739,0,,0
1381.0625,.4009662,2013,3.7277777,0,0,739,0,,0
401.15759,.3659218,2009,3.3731482,,0,740,0,,0
401.15759,.3659218,2010,3.5384259,,0,740,0,,0
401.15759,.3659218,2011,4.2552247,0,0,740,0,,0
401.15759,.3659218,2012,4.2169795,,0,740,0,,0
401.15759,.3659218,2013,3.6153846,0,0,740,0,,0
1126.6085,.82879376,2009,3.7488756,,0,741,0,,0
1126.6085,.82879376,2010,3.8037038,,0,741,0,,0
1126.6085,.82879376,2011,4.0037036,0,0,741,0,,0
1126.6085,.82879376,2012,4.2613997,,0,741,0,,0
1126.6085,.82879376,2013,3.8783882,0,0,741,0,,0
1627.6064,.83333331,2009,3.7722883,,0,742,0,,0
1627.6064,.83333331,2010,4.1210647,,0,742,0,,0
1627.6064,.83333331,2011,3.9634259,0,0,742,0,,0
1627.6064,.83333331,2012,4.2853537,,0,742,0,,0
1627.6064,.83333331,2013,4.1166058,0,0,742,0,,0
1361.9053,.7703349,2009,3.7210317,,0,743,0,,0
1361.9053,.7703349,2010,4.067791,,0,743,0,,0
1361.9053,.7703349,2011,3.9953704,0,0,743,0,,0
1361.9053,.7703349,2012,4.5019841,,0,743,0,,0
1361.9053,.7703349,2013,4.168498,0,0,743,0,,0
621.4856,.46804124,2009,3.1805556,,0,744,0,,0
621.4856,.46804124,2010,3.6476851,,0,744,0,,0
621.4856,.46804124,2011,4.2876325,0,0,744,0,,0
621.4856,.46804124,2012,4.0746932,,0,744,0,,0
621.4856,.46804124,2013,3.5865386,0,0,744,0,,0
297.27844,.24262735,2009,3.0407407,,0,745,0,,0
297.27844,.24262735,2010,3.3873017,,0,745,0,,0
297.27844,.24262735,2011,4.9305553,0,0,745,0,,0
297.27844,.24262735,2012,4.0152116,,0,745,0,,0
297.27844,.24262735,2013,3.3055556,0,0,745,0,,0
410.53311,.46044305,2009,2.9928572,,0,746,0,,0
410.53311,.46044305,2010,3.3587964,,0,746,0,,0
410.53311,.46044305,2011,3.8402777,0,0,746,0,,0
410.53311,.46044305,2012,3.7345238,,0,746,0,,0
410.53311,.46044305,2013,3.5277777,0,0,746,0,,0
264.16168,.30010718,2009,3.0410051,,0,747,0,,0
264.16168,.30010718,2010,3.5518517,,0,747,0,,0
264.16168,.30010718,2011,4.8449073,0,0,747,0,,0
264.16168,.30010718,2012,4.0261903,,0,747,0,,0
264.16168,.30010718,2013,3.4444444,0,0,747,0,,0
420.67871,.49333334,2009,3.3432539,,0,749,2011,2011,1
420.67871,.49333334,2010,3.3178573,,0,749,2011,2011,1
420.67871,.49333334,2011,4.3726854,.07,.07,749,2011,2011,1
420.67871,.49333334,2012,3.8563132,,0,749,2011,2011,1
420.67871,.49333334,2013,3.5238094,3.6600001,3.6600001,749,2011,2011,1
852.70831,.54317546,2009,3.7073412,,0,750,2011,2011,1
852.70831,.54317546,2010,3.8228176,,0,750,2011,2011,1
852.70831,.54317546,2011,5.0085979,1.54,1.54,750,2011,2011,1
852.70831,.54317546,2012,4.4291668,,0,750,2011,2011,1
852.70831,.54317546,2013,3.8051281,3.3,3.3,750,2011,2011,1
1609.7322,.70303029,2009,4.5595236,,0,751,2011,2011,1
1609.7322,.70303029,2010,4.6168652,,0,751,2011,2011,1
1609.7322,.70303029,2011,4.5046296,14.31,14.31,751,2011,2011,1
1609.7322,.70303029,2012,5.3453703,,0,751,2011,2011,1
1609.7322,.70303029,2013,5.2547007,19.469999,19.469999,751,2011,2011,1
1020.7277,.75,2009,6.4494047,,0,752,2011,2011,1
1020.7277,.75,2010,6.8152776,,0,752,2011,2011,1
1020.7277,.75,2011,5.8375664,6.8200002,6.8200002,752,2011,2011,1
1020.7277,.75,2012,6.6378789,,0,752,2011,2011,1
1020.7277,.75,2013,6.0589743,6.8800001,6.8800001,752,2011,2011,1
1101.6654,.7153846,2009,5.4894843,,0,755,2011,2011,1
1101.6654,.7153846,2010,5.7585139,,0,755,2011,2011,1
1101.6654,.7153846,2011,5.8223214,7.0700002,7.0700002,755,2011,2011,1
1101.6654,.7153846,2012,7.2560844,,0,755,2011,2011,1
1101.6654,.7153846,2013,7.3606839,3.1199999,3.1199999,755,2011,2011,1
1097.2789,.83935744,2009,7.5833335,,0,757,2011,2011,1
1097.2789,.83935744,2010,7.6532407,,0,757,2011,2011,1
1097.2789,.83935744,2011,6.790741,5.8899999,5.8899999,757,2011,2011,1
1097.2789,.83935744,2012,8.8968258,,0,757,2011,2011,1
1097.2789,.83935744,2013,8.2051277,3.01,3.01,757,2011,2011,1
998.19244,.88328075,2009,6.6972885,,0,758,2011,2011,1
998.19244,.88328075,2010,7.115344,,0,758,2011,2011,1
998.19244,.88328075,2011,6.0541668,13.26,13.26,758,2011,2011,1
998.19244,.88328075,2012,7.932107,,0,758,2011,2011,1
998.19244,.88328075,2013,7.2564101,13.6,13.6,758,2011,2011,1
901.48828,.94152045,2009,6.2402115,,0,759,2011,2011,1
901.48828,.94152045,2010,6.9068785,,0,759,2011,2011,1
901.48828,.94152045,2011,5.8801589,19.73,19.73,759,2011,2011,1
901.48828,.94152045,2012,7.5,,0,759,2011,2011,1
901.48828,.94152045,2013,7.4102564,20.280001,20.280001,759,2011,2011,1
1559.0178,.92215568,2009,5.5525131,,0,760,2011,2011,1
1559.0178,.92215568,2010,6.2296958,,0,760,2011,2011,1
1559.0178,.92215568,2011,5.7616405,27.07,27.07,760,2011,2011,1
1559.0178,.92215568,2012,6.7131553,,0,760,2011,2011,1
1559.0178,.92215568,2013,6.6062269,21.68,21.68,760,2011,2011,1
996.32373,.81294966,2009,3.9577382,,0,761,2011,2011,1
996.32373,.81294966,2010,4.4425926,,0,761,2011,2011,1
996.32373,.81294966,2011,3.6046295,28.6,28.6,761,2011,2011,1
996.32373,.81294966,2012,5.0290527,,0,761,2011,2011,1
996.32373,.81294966,2013,4.8021979,52.580002,52.580002,761,2011,2011,1
857.1629,.63098592,2009,3.2129631,,0,762,2011,2011,1
857.1629,.63098592,2010,3.5854497,,0,762,2011,2011,1
857.1629,.63098592,2011,3.5435185,8.8999996,8.8999996,762,2011,2011,1
857.1629,.63098592,2012,4.2300506,,0,762,2011,2011,1
857.1629,.63098592,2013,4.1709399,8.71,8.71,762,2011,2011,1
1115.9844,.68093383,2009,4.2375002,,0,763,2011,2011,1
1115.9844,.68093383,2010,4.6357145,,0,763,2011,2011,1
1115.9844,.68093383,2011,4.130754,12.34,12.34,763,2011,2011,1
1115.9844,.68093383,2012,5.0500841,,0,763,2011,2011,1
1115.9844,.68093383,2013,4.7794871,11.41,11.41,763,2011,2011,1
1339.5782,.86602873,2009,8.5791998,,0,764,2011,2011,1
1339.5782,.86602873,2010,10.395734,,0,764,2011,2011,1
1339.5782,.86602873,2011,7.3603835,22.27,22.27,764,2011,2011,1
1339.5782,.86602873,2012,8.6671715,,0,764,2011,2011,1
1339.5782,.86602873,2013,7.9615383,25.66,25.66,764,2011,2011,1
837.74438,.83943659,2009,5.765377,,0,765,2011,2011,1
837.74438,.83943659,2010,5.9739537,,0,765,2011,2011,1
837.74438,.83943659,2011,5.4570107,8.9399996,8.9399996,765,2011,2011,1
837.74438,.83943659,2012,6.7185426,,0,765,2011,2011,1
837.74438,.83943659,2013,6.7264957,8.7299995,8.7299995,765,2011,2011,1
747.88293,.84390247,2009,3.6474867,,0,766,2011,2011,1
747.88293,.84390247,2010,3.9759741,,0,766,2011,2011,1
747.88293,.84390247,2011,4.0425925,36.150002,36.150002,766,2011,2011,1
747.88293,.84390247,2012,5.0720901,,0,766,2011,2011,1
747.88293,.84390247,2013,5.0064101,.25999999,.25999999,766,2011,2011,1
1026.3292,.91322315,2009,5.6317792,,0,767,2011,2011,1
1026.3292,.91322315,2010,5.558466,,0,767,2011,2011,1
1026.3292,.91322315,2011,5.534524,12.28,12.28,767,2011,2011,1
1026.3292,.91322315,2012,7.1054897,,0,767,2011,2011,1
1026.3292,.91322315,2013,6.9829059,2.26,2.26,767,2011,2011,1
950.37292,.70860928,2009,4.5145502,,0,768,2011,2011,1
950.37292,.70860928,2010,5.1264548,,0,768,2011,2011,1
950.37292,.70860928,2011,4.6701059,18.51,18.51,768,2011,2011,1
950.37292,.70860928,2012,5.9810848,,0,768,2011,2011,1
950.37292,.70860928,2013,5.8333335,9.6499996,9.6499996,768,2011,2011,1
882.36334,.84423673,2009,5.2331347,,0,769,2011,2011,1
882.36334,.84423673,2010,5.8901515,,0,769,2011,2011,1
882.36334,.84423673,2011,5.7203703,14.06,14.06,769,2011,2011,1
882.36334,.84423673,2012,7.0330687,,0,769,2011,2011,1
882.36334,.84423673,2013,6.3888888,21.809999,21.809999,769,2011,2011,1
2921.3926,.8952381,2009,4.630291,,0,770,2011,2011,1
2921.3926,.8952381,2010,4.9998016,,0,770,2011,2011,1
2921.3926,.8952381,2011,4.6628308,15.43,15.43,770,2011,2011,1
2921.3926,.8952381,2012,5.6614056,,0,770,2011,2011,1
2921.3926,.8952381,2013,5.1794872,25.34,25.34,770,2011,2011,1
870.33441,.86885244,2009,3.2561326,,0,771,2011,2011,1
870.33441,.86885244,2010,3.5161436,,0,771,2011,2011,1
870.33441,.86885244,2011,3.3197751,27.77,27.77,771,2011,2011,1
870.33441,.86885244,2012,4.219841,,0,771,2011,2011,1
870.33441,.86885244,2013,3.6752138,17.57,17.57,771,2011,2011,1
1142.374,.83739835,2009,4.1448412,,0,772,2011,2011,1
1142.374,.83739835,2010,4.4440536,,0,772,2011,2011,1
1142.374,.83739835,2011,4.4973545,36.84,36.84,772,2011,2011,1
1142.374,.83739835,2012,5.346561,,0,772,2011,2011,1
1142.374,.83739835,2013,5.0558,47.599998,47.599998,772,2011,2011,1
864.0647,.9218241,2009,5.2609129,,0,773,2011,2011,1
864.0647,.9218241,2010,6.0497837,,0,773,2011,2011,1
864.0647,.9218241,2011,6.1137567,9.0299997,9.0299997,773,2011,2011,1
864.0647,.9218241,2012,7.8369708,,0,773,2011,2011,1
864.0647,.9218241,2013,7.2435899,23.860001,23.860001,773,2011,2011,1
1247.3556,.71022725,2009,7.4861112,,0,774,2011,2011,1
1247.3556,.71022725,2010,7.9297619,,0,774,2011,2011,1
1247.3556,.71022725,2011,7.0578704,9.1199999,9.1199999,774,2011,2011,1
1247.3556,.71022725,2012,9.3982143,,0,774,2011,2011,1
1247.3556,.71022725,2013,8.5256414,7.5999999,7.5999999,774,2011,2011,1
1474.5111,.68156427,2009,11.807539,,0,778,2011,2011,1
1474.5111,.68156427,2010,13.309794,,0,778,2011,2011,1
1474.5111,.68156427,2011,11.324074,5.1599998,5.1599998,778,2011,2011,1
1474.5111,.68156427,2012,15.179893,,0,778,2011,2011,1
1474.5111,.68156427,2013,12.76282,3.3900001,3.3900001,778,2011,2011,1
697.98981,.90561223,2009,4.5562167,,0,779,2011,2011,1
697.98981,.90561223,2010,4.7976189,,0,779,2011,2011,1
697.98981,.90561223,2011,4.3125,6,6,779,2011,2011,1
697.98981,.90561223,2012,5.4482327,,0,779,2011,2011,1
697.98981,.90561223,2013,5.1388888,9.4399996,9.4399996,779,2011,2011,1
1278.4791,.69491524,2009,4.6560183,,0,780,2011,2011,1
1278.4791,.69491524,2010,5.6178751,,0,780,2011,2011,1
1278.4791,.69491524,2011,5.5300927,20.16,20.16,780,2011,2011,1
1278.4791,.69491524,2012,6.9589949,,0,780,2011,2011,1
1278.4791,.69491524,2013,6.6605616,17.549999,17.549999,780,2011,2011,1
854.67847,.27597404,2009,3.5355158,,0,781,2011,2011,1
854.67847,.27597404,2010,3.9448051,,0,781,2011,2011,1
854.67847,.27597404,2011,4.0300927,4.3200002,4.3200002,781,2011,2011,1
854.67847,.27597404,2012,4.5694447,,0,781,2011,2011,1
854.67847,.27597404,2013,4,.76999998,.76999998,781,2011,2011,1
800.91003,.82867134,2009,3.4910715,,0,782,2011,2011,1
800.91003,.82867134,2010,3.9666667,,0,782,2011,2011,1
800.91003,.82867134,2011,4.1458335,.31999999,.31999999,782,2011,2011,1
800.91003,.82867134,2012,4.7904763,,0,782,2011,2011,1
800.91003,.82867134,2013,4.3928571,.0099999998,.0099999998,782,2011,2011,1
778.14038,.64310956,2009,4.1460977,,0,783,2011,2011,1
778.14038,.64310956,2010,4.3290944,,0,783,2011,2011,1
778.14038,.64310956,2011,4.1157408,8.1000004,8.1000004,783,2011,2011,1
778.14038,.64310956,2012,4.7942462,,0,783,2011,2011,1
778.14038,.64310956,2013,4.3611112,6.8299999,6.8299999,783,2011,2011,1
351.30966,.40242058,2009,3.4043651,,0,784,2011,2011,1
351.30966,.40242058,2010,3.5617785,,0,784,2011,2011,1
351.30966,.40242058,2011,4.5902777,.19,.19,784,2011,2011,1
351.30966,.40242058,2012,3.926389,,0,784,2011,2011,1
351.30966,.40242058,2013,3.5333333,1.1799999,1.1799999,784,2011,2011,1
955.56055,.83566433,2009,4.2519841,,0,785,2011,2011,1
955.56055,.83566433,2010,4.7125001,,0,785,2011,2011,1
955.56055,.83566433,2011,4.8703704,4.0700002,4.0700002,785,2011,2011,1
955.56055,.83566433,2012,5.3384919,,0,785,2011,2011,1
955.56055,.83566433,2013,4.8611112,0,0,785,2011,2011,1
1056.8096,.48698884,2009,3.2863095,,0,786,2011,2011,1
1056.8096,.48698884,2010,3.5748677,,0,786,2011,2011,1
1056.8096,.48698884,2011,3.8680556,.059999999,.059999999,786,2011,2011,1
1056.8096,.48698884,2012,3.8892677,,0,786,2011,2011,1
1056.8096,.48698884,2013,3.6666667,0,0,786,2011,2011,1
